,latitude,longitude,property_type,num_bathrooms,num_bedrooms,num_floors,num_recepts,new_home,loc_class,price
1334,51.3045,-3.010199,Detached bungalow,2.0,3.0,0.0,4.0,0.0,8,435000.0
1335,51.35846,-2.945722,Detached house,1.0,3.0,0.0,2.0,0.0,1,275000.0
1336,51.311646,-2.837182,Detached house,0.0,3.0,0.0,0.0,0.0,1,375000.0
1337,51.02598,-3.090385,Flat,1.0,2.0,0.0,1.0,0.0,0,115000.0
1338,51.12923,-3.0124,Terraced house,0.0,3.0,0.0,0.0,0.0,3,179950.0
1339,51.12825,-2.981982,End terrace house,0.0,3.0,0.0,0.0,0.0,2,185000.0
1340,51.209526,-3.5499980000000004,Detached house,2.0,3.0,0.0,2.0,0.0,1,450000.0
1341,51.005684,-2.765584,Mobile/park home,1.0,2.0,0.0,1.0,0.0,-1,85000.0
1342,51.281143,-2.488204,Detached house,2.0,3.0,0.0,1.0,0.0,1,265000.0
1343,51.3182,-2.543082,Detached house,2.0,4.0,0.0,2.0,0.0,1,565000.0
1344,51.40026,-2.863222,Detached house,2.0,5.0,0.0,3.0,0.0,1,670000.0
1345,51.355488,-2.991918,Flat,0.0,2.0,0.0,0.0,0.0,0,140000.0
1346,51.229557,-2.311817,Semi-detached house,2.0,3.0,0.0,1.0,0.0,4,259950.0
1347,50.928505,-2.858201,Cottage,1.0,3.0,0.0,2.0,0.0,24,290000.0
1348,51.242767,-2.307795,Terraced house,1.0,3.0,0.0,2.0,0.0,3,225000.0
1349,51.03363,-3.057235,Semi-detached house,1.0,3.0,0.0,1.0,0.0,4,105000.0
1350,51.472427,-2.811615,Detached house,3.0,5.0,0.0,2.0,0.0,1,649950.0
1351,51.020287,-3.107632,Flat,1.0,1.0,0.0,1.0,0.0,0,113500.0
1352,51.274345,-2.479631,Semi-detached house,1.0,3.0,0.0,1.0,0.0,4,250000.0
1353,51.022835,-3.095829,Flat,1.0,2.0,0.0,1.0,0.0,0,150000.0
1354,51.131363,-2.976375,End terrace house,1.0,1.0,0.0,1.0,0.0,2,115000.0
1355,50.938854,-2.810229,Detached house,1.0,3.0,0.0,3.0,0.0,1,525000.0
1356,50.94119,-2.757237,Semi-detached house,2.0,3.0,0.0,1.0,0.0,4,270000.0
1357,51.135506,-2.837422,Cottage,1.0,3.0,0.0,2.0,0.0,9,339950.0
